nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.2748763561248779,9.0,16.0,192.05238711200383,78.25999999999992,0.9199999999999786,3,79.4964845,135.125
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.2719302177429199,9.0,16.0,182.7350523227816,78.25999999999992,0.9199999999999786,3,80.20117194999999,133.953125
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.2719435691833496,9.0,16.0,180.82665339793408,78.25999999999992,0.9199999999999786,3,79.324414,135.320312
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.2778387069702148,9.0,16.0,198.47801705044463,78.25999999999992,0.9199999999999786,3,79.75292974999999,136.960938
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.2832252979278564,9.0,16.0,188.86788446446377,78.25999999999992,0.9199999999999786,3,80.63337061904762,137.179688
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.2757699489593506,9.0,16.0,186.89056769781183,78.25999999999992,0.9199999999999786,3,79.26660155,136.007812
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.271914005279541,9.0,16.0,215.5752158756828,78.25999999999992,0.9199999999999786,3,79.28417965,135.382812
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.2782735824584961,9.0,16.0,205.2563481891346,78.25999999999992,0.9199999999999786,3,79.440625,135.402344
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.2772407531738281,9.0,16.0,203.07084478163603,78.25999999999992,0.9199999999999786,3,80.33261719999999,135.304688
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.2780003547668457,9.0,16.0,196.32790313711536,78.25999999999992,0.9199999999999786,3,79.8927734,135.71875
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.2722806930541992,9.0,16.0,186.8354283974209,78.25999999999992,0.9199999999999786,3,79.49497776190476,137.429688
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.2733364105224609,9.0,16.0,184.8531992966951,78.25999999999992,0.9199999999999786,3,79.89628910000002,135.273438
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.2754309177398681,9.0,16.0,192.26128624459807,78.25999999999992,0.9199999999999786,3,80.4474609,135.410156
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.2754344940185547,9.0,16.0,182.94966633394057,78.25999999999992,0.9199999999999786,3,80.5072266,135.453125
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.2815659046173095,9.0,16.0,180.9996189253293,78.25999999999992,0.9199999999999786,3,75.74293152380952,137.363281
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.272792100906372,9.0,16.0,199.9612152653445,78.25999999999992,0.9199999999999786,3,79.35429680000001,135.445312
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.2733407020568847,9.0,16.0,190.28601442092696,78.25999999999992,0.9199999999999786,3,79.9271484,135.675781
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.2839035987854004,9.0,16.0,188.31138857168736,78.25999999999992,0.9199999999999786,3,80.98009666666665,137.117188
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.2713611125946045,9.0,16.0,193.7505844544565,78.25999999999992,0.9199999999999786,3,79.96191405,135.828125
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.277205228805542,9.0,16.0,184.38419305314488,78.25999999999992,0.9199999999999786,3,79.64296875,135.628906
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.2742302417755127,9.0,16.0,182.4211255419169,78.25999999999992,0.9199999999999786,3,79.02128915,135.480469
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.2748756408691406,9.0,16.0,200.60342078843,78.25999999999992,0.9199999999999786,3,79.47304684999999,135.597656
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.2743990421295166,9.0,16.0,190.9358060837729,78.25999999999992,0.9199999999999786,3,80.0361329,135.519531
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.2736856937408447,9.0,16.0,188.8797472925356,78.25999999999992,0.9199999999999786,3,79.59414060000002,135.367188
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.2764310836791992,9.0,16.0,179.19872557321452,78.25999999999992,0.9199999999999786,3,79.97910154999998,135.285156
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.2744183540344238,9.0,16.0,170.46787423243637,78.25999999999992,0.9199999999999786,3,79.77832034999999,135.648438
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.2738940715789795,9.0,16.0,168.64137281733343,78.25999999999992,0.9199999999999786,3,80.05175789999998,135.394531
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.272134780883789,9.0,16.0,194.17779118575945,78.25999999999992,0.9199999999999786,3,79.8097656,135.46875
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.2787282466888428,9.0,16.0,184.80297407476525,78.25999999999992,0.9199999999999786,3,79.38085939999999,135.316406
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.2719764709472656,9.0,16.0,182.8158326538217,78.25999999999992,0.9199999999999786,3,80.60644525000001,133.890625
