nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.0473246574401855,21,43,,,,,100.46070764705883,170.035156
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.0510032176971435,21,43,,,,,101.3942870625,169.796875
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.0577590465545654,21,43,,,,,105.21920947058824,169.945312
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.0482227802276611,21,43,,,,,103.74414068749999,170.339844
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.0533711910247802,21,43,,,,,102.08398425,170.03125
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.0535559654235839,21,43,,,,,106.4827665882353,170.027344
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.0468232631683349,21,43,,,,,103.963867125,170.226562
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.0635828971862793,21,43,,,,,102.2897948125,169.933594
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.0508742332458496,21,43,,,,,97.29123266666666,169.933594
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.0547931194305419,21,43,,,,,103.6213380625,170.394531
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.0505566596984863,21,43,,,,,105.11994476470589,169.882812
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.0468571186065673,21,43,,,,,102.26792288235295,169.996094
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.0525181293487548,21,43,,,,,110.02951394444443,169.984375
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.0557711124420166,21,43,,,,,104.77596505882354,169.808594
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.0440225601196289,21,43,,,,,103.83593752941178,170.167969
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.0490965843200683,21,43,,,,,102.284912125,170.5
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.05790376663208,21,43,,,,,106.23782176470588,170.421875
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.0545625686645507,21,43,,,,,103.44628912499999,170.144531
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.051490306854248,21,43,,,,,102.4550781875,170.082031
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.0702288150787353,21,43,,,,,106.55216000000001,170.121094
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.0469992160797119,21,43,,,,,102.20849625,169.898438
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.0559887886047363,21,43,,,,,96.10753670588235,170.136719
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.0550460815429687,21,43,,,,,104.78056064705882,169.886719
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.047734260559082,21,43,,,,,103.10400412499999,170.273438
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.0477147102355957,21,43,,,,,105.2062988125,169.816406
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.0499486923217773,21,43,,,,,100.35799647058823,169.585938
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.0479888916015625,21,43,,,,,101.82910162499999,170.296875
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.0542833805084228,21,43,,,,,103.32275387499999,170.058594
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.0542762279510498,21,43,,,,,92.79904527777778,169.960938
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.0488698482513427,21,43,,,,,103.1201171875,170.382812
