nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,1.368337869644165,2555,13033,,,,,103.2899170625,150.816406
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,1.352640151977539,2555,13033,,,,,102.29541012499999,150.320312
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,1.3451321125030518,2555,13033,,,,,102.61242690625,150.679688
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,1.3549528121948242,2555,13033,,,,,103.0065918125,150.890625
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,1.368579387664795,2555,13033,,,,,102.760498,150.890625
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,1.3559520244598389,2555,13033,,,,,102.76025384375001,151.039062
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,1.354447603225708,2555,13033,,,,,102.62756350000001,150.636719
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,1.3630883693695068,2555,13033,,,,,103.15954590625,151.089844
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,1.3683481216430664,2555,13033,,,,,102.56579584375,150.617188
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,1.3840889930725098,2555,13033,,,,,102.88745115625,150.449219
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,1.3835551738739014,2555,13033,,,,,102.52612315625001,148.511719
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,1.3562874794006348,2555,13033,,,,,102.706665,150.75
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,1.368614673614502,2555,13033,,,,,102.9654540625,150.507812
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,1.3463807106018066,2555,13033,,,,,102.73791506250001,150.832031
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,1.3869907855987549,2555,13033,,,,,102.778442375,149.332031
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,1.3674068450927734,2555,13033,,,,,102.76391596875,150.523438
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,1.360191822052002,2555,13033,,,,,102.70129396875001,150.480469
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,1.3664968013763428,2555,13033,,,,,102.8370361875,151.101562
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,1.3621509075164795,2555,13033,,,,,100.77663354545454,150.554688
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,1.358750820159912,2555,13033,,,,,102.76354978124999,150.847656
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,1.350053787231445,2555,13033,,,,,102.46862796875001,150.640625
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,1.3700783252716064,2555,13033,,,,,102.48840325,150.207031
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,1.3556978702545166,2555,13033,,,,,102.89257815625,150.753906
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,1.3640398979187012,2555,13033,,,,,102.8950195625,150.714844
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,1.353438377380371,2555,13033,,,,,102.59716803124999,150.851562
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,1.3652997016906738,2555,13033,,,,,103.0278320625,150.671875
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,1.3447210788726809,2555,13033,,,,,102.9592285625,150.523438
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,1.349846124649048,2555,13033,,,,,102.904174875,150.796875
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,1.3654835224151611,2555,13033,,,,,102.789795,150.902344
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,1.3430488109588623,2555,13033,,,,,103.15624996875,151.011719
