nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.0600428581237793,18,19,354.0838338508617,83.97,20.85,29,105.045726,173.976562
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.0759038925170898,18,19,321.0976496730833,85.67,20.85,29,109.91080727777778,177.328125
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.0595510005950927,18,19,335.2603564115987,83.97,20.85,29,106.23023894117648,174.164062
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.0580000877380371,18,19,393.769427587856,83.97,20.85,29,105.97564347058824,174.167969
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.0600252151489257,18,19,359.7902517640485,83.97,20.85,29,108.27430555555556,174.164062
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.0680818557739257,18,19,374.3722628699508,85.67,20.85,29,108.72725176470588,177.675781
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.0677359104156494,18,19,499.5702888223463,85.67,20.85,29,106.88671876470588,176.332031
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.0658488273620605,18,19,462.8828349127284,83.97,20.85,29,106.9707031111111,173.90625
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.0705232620239257,18,19,478.63412571001936,85.67,20.85,29,105.82582723529413,176.324219
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.0538344383239746,18,19,380.54530738270313,83.97,20.85,29,103.29181982352941,173.753906
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.0663180351257324,18,19,346.89521080274085,83.97,20.85,29,105.72058823529412,174.175781
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.066619873046875,18,19,361.34889766132,85.67,20.85,29,106.59512876470589,176.035156
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.0729641914367675,18,19,355.4019828199803,85.67,20.85,29,105.34375,174.621094
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.0613706111907959,18,19,322.41390448519576,85.67,20.85,29,106.41153505882353,176.273438
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.0617885589599609,18,19,336.5709982122204,85.67,20.85,29,106.62959570588235,176.242188
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.0642695426940918,18,19,403.0083824376623,85.67,20.85,29,106.36167288235293,176.367188
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.0664126873016357,18,19,368.7935877647397,85.67,20.85,29,106.11305147058823,176.589844
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.0604875087738037,18,19,383.4920213688781,83.97,20.85,29,106.66038611764705,173.960938
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.0743131637573242,18,19,364.6773293547513,85.67,20.85,29,110.64973966666668,177.734375
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.0676250457763671,18,19,331.42684241943266,85.67,20.85,29,106.62522970588236,176.507812
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.0780720710754394,18,19,345.70488099548857,85.67,20.85,29,109.89952277777778,176.367188
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.0670106410980224,18,19,407.0068100451415,85.67,20.85,29,104.10590266666668,176.382812
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.0671148300170898,18,19,372.6928013138999,85.67,20.85,29,106.19623158823529,176.296875
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.0699880123138427,18,19,387.4374666957797,85.67,20.85,29,107.33318005882354,175.976562
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.0573575496673584,18,19,274.7276249420127,83.97,20.85,29,105.07513776470589,174.007812
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.0645055770874023,18,19,243.7651011524765,85.67,20.85,29,106.69485317647059,177.351562
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.0695784091949462,18,19,257.0639796402485,85.67,20.85,29,107.49761277777777,177.164062
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.0626783370971679,18,19,367.3212143007282,83.97,20.85,29,106.29825364705881,173.847656
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.0619525909423828,18,19,334.0001982072183,85.67,20.85,29,105.41521141176472,176.980469
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.0679304599761962,18,19,348.3255571763806,83.97,20.85,29,109.35720494444445,174.097656
