nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.2200005054473877,9.0,12.75,,,,,79.51874994999999,133.972656
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.2218420505523681,9.0,12.75,,,,,79.31113284999999,134.460938
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.2203798294067382,9.0,12.75,,,,,79.11914064999999,134.253906
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.218001127243042,9.0,12.75,,,,,79.52910170000001,134.355469
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.2152626514434814,9.0,12.75,,,,,79.5859376,134.742188
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.2197999954223632,9.0,12.75,,,,,79.2052735,133.992188
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.2229995727539062,9.0,12.75,,,,,78.85605469999999,134.054688
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.2192099094390869,9.0,12.75,,,,,79.3185547,134.21875
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.2211318016052246,9.0,12.75,,,,,79.29785154999999,133.886719
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.2190010547637939,9.0,12.75,,,,,79.22597649999999,134.015625
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.2164821624755859,9.0,12.75,,,,,79.59414059999999,134.957031
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.2162044048309326,9.0,12.75,,,,,79.36582035,134.242188
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.2157258987426757,9.0,12.75,,,,,78.87167955,134.265625
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.2175726890563964,9.0,12.75,,,,,79.58476565,134.726562
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.216001272201538,9.0,12.75,,,,,78.90917970000001,134.085938
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.2144892215728759,9.0,12.75,,,,,79.6251954,134.804688
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.2163026332855224,9.0,12.75,,,,,79.6220703,134.402344
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.2180008888244629,9.0,12.75,,,,,79.5466797,134.332031
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.2217755317687988,9.0,12.75,,,,,79.18984379999999,133.925781
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.2185542583465576,9.0,12.75,,,,,79.10175790000001,133.929688
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.2174630165100097,9.0,12.75,,,,,79.52050779999999,134.273438
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.217379093170166,9.0,12.75,,,,,79.58378904999998,135.023438
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.2170000076293945,9.0,12.75,,,,,79.11191399999998,134.316406
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.2180502414703369,9.0,12.75,,,,,79.57304685,134.890625
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.2178947925567627,9.0,12.75,,,,,79.89667975,135.203125
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.2175407409667968,9.0,12.75,,,,,79.20332024999999,133.929688
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.2179999351501464,9.0,12.75,,,,,79.1982422,134.175781
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.2228283882141113,9.0,12.75,,,,,79.2722657,133.996094
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.216581106185913,9.0,12.75,,,,,79.84238289999999,134.757812
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.2190005779266357,9.0,12.75,,,,,79.49199219999998,134.707031
