nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.2215826511383056,9.0,13.75,,,,,79.63027335000001,134.527344
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.2200009822845459,9.0,13.75,,,,,79.24218749999999,133.898438
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.2261683940887451,9.0,13.75,,,,,78.84179689999999,133.863281
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.2233388423919677,9.0,13.75,,,,,79.76191404999999,134.097656
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.2209997177124023,9.0,13.75,,,,,79.41894525,134.390625
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.2195742130279541,9.0,13.75,,,,,77.16718745,134.039062
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.2216243743896484,9.0,13.75,,,,,79.49609369999999,134.238281
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.2243685722351074,9.0,13.75,,,,,79.44804685,134.46875
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.2209994792938232,9.0,13.75,,,,,79.42617185,134.476562
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.216714859008789,9.0,13.75,,,,,79.3595703,134.589844
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.2185685634613037,9.0,13.75,,,,,79.34062515000001,134.558594
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.2210016250610351,9.0,13.75,,,,,79.06230475,133.722656
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.225489854812622,9.0,13.75,,,,,79.35839849999999,133.949219
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.2237806320190429,9.0,13.75,,,,,79.0675781,133.839844
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.2216489315032959,9.0,13.75,,,,,79.64511715,134.570312
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.2220015525817871,9.0,13.75,,,,,79.06699219999999,133.945312
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.2205359935760498,9.0,13.75,,,,,79.7000001,134.25
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.2196829319000244,9.0,13.75,,,,,79.68417969999999,134.949219
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.2189183235168457,9.0,13.75,,,,,79.5818361,134.59375
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.2222299575805664,9.0,13.75,,,,,79.54199220000001,134.164062
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.219480276107788,9.0,13.75,,,,,79.6078124,134.386719
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.2219998836517334,9.0,13.75,,,,,79.40527355,134.386719
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.2209994792938232,9.0,13.75,,,,,78.95058610000001,133.921875
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.2200002670288086,9.0,13.75,,,,,79.37851545,134.253906
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.2220497131347656,9.0,13.75,,,,,79.47539065000001,134.449219
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.2231905460357666,9.0,13.75,,,,,79.52792965,133.8125
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.2217090129852295,9.0,13.75,,,,,78.92265625000002,133.734375
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.2230019569396972,9.0,13.75,,,,,79.253711,134.15625
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.2280042171478271,9.0,13.75,,,,,78.96464845,133.929688
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.2216808795928955,9.0,13.75,,,,,79.16738295,134.0625
