nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.2200007438659668,9.0,13.75,,,,,79.34726555,134.257812
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.2214574813842773,9.0,13.75,,,,,78.88574224999999,133.867188
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.2200021743774414,9.0,13.75,,,,,79.11601555,134.082031
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.2230007648468017,9.0,13.75,,,,,79.25878895,133.855469
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.2199995517730713,9.0,13.75,,,,,79.0906249,134.671875
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.2198097705841064,9.0,13.75,,,,,79.13339835000002,133.65625
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.2194621562957763,9.0,13.75,,,,,79.0976562,133.957031
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.2219996452331543,9.0,13.75,,,,,79.17812500000001,133.941406
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.2200007438659668,9.0,13.75,,,,,78.57265625,133.800781
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.2214791774749755,9.0,13.75,,,,,78.91093744999999,133.972656
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.2261426448822021,9.0,13.75,,,,,79.2308408095238,134.210938
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.2249889373779297,9.0,13.75,,,,,79.29531244999998,133.984375
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.2256569862365722,9.0,13.75,,,,,79.07773440000001,133.976562
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.2267365455627441,9.0,13.75,,,,,78.96679689999999,133.851562
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.2221989631652832,9.0,13.75,,,,,79.41074225,134.253906
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.2210004329681396,9.0,13.75,,,,,79.72402340000001,134.71875
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.2210006713867187,9.0,13.75,,,,,79.85878910000001,134.746094
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.2202322483062744,9.0,13.75,,,,,79.65097655,134.285156
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.2180016040802002,9.0,13.75,,,,,79.93125004999999,134.707031
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.2190017700195312,9.0,13.75,,,,,79.69453114999999,134.410156
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.2190005779266357,9.0,13.75,,,,,79.1240234,134.546875
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.2198224067687988,9.0,13.75,,,,,79.60917959999999,134.195312
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.2236771583557129,9.0,13.75,,,,,79.08886714999998,133.878906
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.2192549705505371,9.0,13.75,,,,,79.03339844999999,134.296875
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.2213523387908935,9.0,13.75,,,,,79.91894545,134.710938
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.2205941677093505,9.0,13.75,,,,,79.30449209999999,134.285156
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.219001293182373,9.0,13.75,,,,,79.17226565000001,134.105469
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.2200028896331787,9.0,13.75,,,,,79.64882820000001,134.339844
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.2224249839782714,9.0,13.75,,,,,79.31425785,134.09375
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.2213926315307617,9.0,13.75,,,,,79.50781260000001,134.085938
