nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.0543546676635742,21,22,,,,,104.318704,171.4375
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.0503461360931396,21,22,,,,,102.12821688235293,171.332031
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.0485715866088867,21,22,,,,,106.20450370588235,171.625
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.0671706199645996,21,22,,,,,106.84857541176471,170.246094
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.0579776763916015,21,22,,,,,105.27619482352941,170.203125
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.0664036273956298,21,22,,,,,107.27274823529412,169.960938
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.054985761642456,21,22,,,,,108.27582461111109,171.800781
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.0542643070220947,21,22,,,,,106.60845588235296,170.039062
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.0580236911773681,21,22,,,,,106.45703135294119,170.25
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.0541901588439941,21,22,,,,,104.60822611764706,170.292969
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.0470356941223144,21,22,,,,,105.71714164705882,170.117188
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.0526752471923828,21,22,,,,,105.85638782352942,170.1875
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.0518767833709716,21,22,,,,,104.62132376470588,171.335938
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.0521790981292724,21,22,,,,,107.13975711111112,171.355469
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.0626356601715087,21,22,,,,,105.95863988235294,171.503906
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.0600595474243164,21,22,,,,,104.71599276470589,170.265625
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.0500924587249755,21,22,,,,,105.63120411764704,169.992188
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.0531911849975585,21,22,,,,,106.58340988235294,169.976562
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.0525577068328857,21,22,,,,,103.92164529411764,171.179688
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.0555410385131835,21,22,,,,,105.8591451764706,171.320312
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.0547149181365966,21,22,,,,,106.20955888235294,170.300781
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.0477781295776367,21,22,,,,,106.45358452941176,170.40625
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.0503692626953125,21,22,,,,,105.21323529411765,169.75
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.0484616756439209,21,22,,,,,105.09122241176472,170.382812
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.059993028640747,21,22,,,,,107.36006435294118,171.519531
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.0589480400085449,21,22,,,,,107.40119482352941,171.402344
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.0595433712005615,21,22,,,,,108.15039072222223,171.277344
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.0511467456817626,21,22,,,,,105.89522070588235,171.515625
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.0531966686248779,21,22,,,,,104.8871784117647,171.429688
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.0520596504211425,21,22,,,,,103.32973335294118,170.359375
