nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,1.3697514533996582,2555,13033,,,,,103.05334471875,150.609375
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,1.3635756969451904,2555,13033,,,,,102.97546390625,150.527344
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,1.3655683994293213,2555,13033,,,,,102.73754890625,150.589844
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,1.3623347282409668,2555,13033,,,,,102.73425290624999,150.132812
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,1.34812331199646,2555,13033,,,,,103.04675303125,150.90625
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,1.3524324893951416,2555,13033,,,,,102.913696375,150.402344
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,1.3525505065917969,2555,13033,,,,,103.08520496874999,150.671875
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,1.3539798259735107,2555,13033,,,,,102.7966308125,150.714844
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,1.372239589691162,2555,13033,,,,,102.94848640625,150.242188
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,1.3567619323730469,2555,13033,,,,,102.5987549375,150.523438
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,1.3514976501464844,2555,13033,,,,,103.21801753125,150.734375
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,1.3634355068206787,2555,13033,,,,,102.72436521875,150.546875
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,1.3629887104034424,2555,13033,,,,,102.31823734375,150.3125
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,1.3632867336273191,2555,13033,,,,,102.96313475,150.492188
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,1.347846508026123,2555,13033,,,,,102.88305665625,150.800781
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,1.3729326725006104,2555,13033,,,,,102.93908703125001,150.933594
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,1.3567352294921875,2555,13033,,,,,103.05883784375,150.757812
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,1.3537802696228027,2555,13033,,,,,102.62243653125,150.335938
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,1.3886749744415283,2555,13033,,,,,102.45593265624998,148.261719
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,1.3545801639556885,2555,13033,,,,,102.22253428125,150.078125
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,1.3727734088897705,2555,13033,,,,,103.1224365625,150.699219
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,1.3554034233093262,2555,13033,,,,,103.07788084375,150.601562
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,1.3517308235168457,2555,13033,,,,,102.77978518750001,150.765625
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,1.378232479095459,2555,13033,,,,,103.01428228125,150.6875
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,1.358902931213379,2555,13033,,,,,102.80957034375001,150.53125
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,1.360970973968506,2555,13033,,,,,102.62268068750001,150.46875
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,1.373136043548584,2555,13033,,,,,103.17504884375,150.59375
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,1.3778748512268066,2555,13033,,,,,102.90319821874999,150.21875
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,1.3622567653656006,2555,13033,,,,,102.4029541875,150.027344
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,1.3424513339996338,2555,13033,,,,,102.84045403125,150.882812
