nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.4002017974853515,9.0,16.0,,,,,82.02976185714284,134.183594
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.3981339931488037,9.0,16.0,,,,,82.39694942857142,134.738281
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.3970005512237549,9.0,16.0,,,,,82.12927828571428,135.101562
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.3979003429412842,9.0,16.0,,,,,81.97526052380951,135.210938
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.3945527076721191,9.0,16.0,,,,,82.07049842857143,134.71875
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.3965840339660644,9.0,16.0,,,,,82.25706852380952,134.660156
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.3952152729034424,9.0,16.0,,,,,82.6610863809524,134.886719
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.3950316905975342,9.0,16.0,,,,,81.8913690952381,134.632812
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.3972120285034179,9.0,16.0,,,,,82.83500752380954,135.417969
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.3971281051635742,9.0,16.0,,,,,82.34988842857143,134.964844
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.3970270156860351,9.0,16.0,,,,,81.72377228571429,134.695312
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.3959226608276367,9.0,16.0,,,,,82.28199409523809,134.664062
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.3940005302429199,9.0,16.0,,,,,81.8266369047619,134.855469
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.3966240882873535,9.0,16.0,,,,,82.53738857142855,134.898438
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.4076073169708252,9.0,16.0,,,,,83.62695322727272,134.59375
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.3971161842346191,9.0,16.0,,,,,82.7228422857143,134.871094
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.3975121974945068,9.0,16.0,,,,,82.04073666666666,134.742188
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.3925230503082275,9.0,16.0,,,,,81.80208338095238,134.65625
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.4012267589569092,9.0,16.0,,,,,81.99069942857143,134.746094
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.3918354511260986,9.0,16.0,,,,,82.60695685714288,134.777344
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.3960957527160644,9.0,16.0,,,,,81.99181557142856,134.652344
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.3928637504577636,9.0,16.0,,,,,82.11290928571428,135.105469
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.3962774276733398,9.0,16.0,,,,,82.16908480952381,134.671875
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.396728515625,9.0,16.0,,,,,82.23288700000002,134.964844
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.3992338180541992,9.0,16.0,,,,,82.14676333333334,135.160156
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.4059910774230957,9.0,16.0,,,,,79.90287640909091,135.097656
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.3943815231323242,9.0,16.0,,,,,82.54687495238095,134.945312
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.3979430198669433,9.0,16.0,,,,,82.2312127142857,134.855469
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.3957078456878662,9.0,16.0,,,,,82.8926710952381,135.257812
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.3938236236572265,9.0,16.0,,,,,82.4425223809524,134.890625
