nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.0466818809509277,23,52,,,,,130.01337606060605,170.335938
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.048915147781372,23,52,,,,,129.7904410882353,170.53125
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.0503304004669189,23,52,,,,,135.74310670588235,170.296875
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.0574653148651123,23,52,,,,,134.59860342424244,169.949219
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.0523352622985839,23,52,,,,,134.2682292121212,170.445312
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.052786111831665,23,52,,,,,135.1323388181818,170.359375
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.0497894287109375,23,52,,,,,133.94783997058826,170.515625
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.0463879108428955,23,52,,,,,135.1261836969697,170.488281
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.0468916893005371,23,52,,,,,135.62626364705883,170.191406
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.0478694438934326,23,52,,,,,134.30342376470588,170.222656
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.0517306327819824,23,52,,,,,134.52844246875,170.234375
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.0509998798370361,23,52,,,,,133.91820566666667,170.550781
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.0449628829956054,23,52,,,,,134.1312038235294,170.351562
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.0463666915893554,23,52,,,,,135.01645381818182,170.34375
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.0480022430419921,23,52,,,,,133.59339481818182,170.25
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.0485801696777343,23,52,,,,,133.60179247058824,169.878906
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.0478191375732421,23,52,,,,,134.9621210909091,170.484375
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.0493614673614501,23,52,,,,,133.08226803030306,170.132812
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.0452022552490234,23,52,,,,,135.6977253235294,170.328125
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.0452256202697753,23,52,,,,,135.09339487878788,170.171875
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.0514843463897705,23,52,,,,,134.69330021212122,170.339844
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.0415692329406738,23,52,,,,,131.5665210882353,170.261719
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.0505619049072265,23,52,,,,,130.59340511764705,170.644531
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.0472402572631835,23,52,,,,,134.65281742424244,170.5
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.0526320934295654,23,52,,,,,134.48035033333332,170.253906
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.0429503917694091,23,52,,,,,134.1268384117647,170.480469
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.0405154228210449,23,52,,,,,133.93945328125,170.429688
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.0476613044738769,23,52,,,,,133.9120503030303,170.398438
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.0457103252410888,23,52,,,,,133.91360297058824,170.386719
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.0470583438873291,23,52,,,,,130.20415879411766,170.089844
