nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.0586268901824951,24,55,373.06,108.36,16.43,1,102.86420029411765,170.457031
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.0648441314697265,24,55,373.06,108.36,16.43,1,108.50308389473685,170.050781
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.054760456085205,24,55,373.06,108.36,16.43,1,107.09461800000001,170.601562
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.0537493228912353,24,55,373.06,108.36,16.43,1,106.14522064705882,170.089844
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.0568773746490478,24,55,373.06,108.36,16.43,1,107.19094670588234,170.320312
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.0534193515777587,24,55,373.06,108.36,16.43,1,108.74177626315787,170.171875
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.0523056983947753,24,55,373.06,108.36,16.43,1,109.1820746111111,170.472656
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.0535800457000732,24,55,373.06,108.36,16.43,1,100.12196183333334,170.101562
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.0541660785675048,24,55,373.06,108.36,16.43,1,105.9613971764706,170.292969
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.0585098266601562,24,55,373.06,108.36,16.43,1,104.91176482352941,170.585938
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.059793472290039,24,55,373.06,108.36,16.43,1,104.82904417647059,170.042969
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.0560288429260253,24,55,373.06,108.36,16.43,1,105.08295047058823,170.675781
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.051354169845581,24,55,373.06,108.36,16.43,1,102.6987591764706,170.539062
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.0565922260284423,24,55,373.06,108.36,16.43,1,105.67371323529412,170.539062
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.0495014190673828,24,55,373.06,108.36,16.43,1,106.13970594117647,170.230469
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.0539939403533935,24,55,373.06,108.36,16.43,1,105.78423711764705,170.792969
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.0543093681335449,24,55,373.06,108.36,16.43,1,109.03320316666667,170.476562
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.0555472373962402,24,55,373.06,108.36,16.43,1,105.33800552941177,170.421875
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.0543975830078125,24,55,373.06,108.36,16.43,1,106.3150275882353,170.605469
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.0542988777160644,24,55,373.06,108.36,16.43,1,103.46440977777779,170.324219
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.0549037456512451,24,55,373.06,108.36,16.43,1,105.06870405882353,170.210938
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.0562186241149902,24,55,373.06,108.36,16.43,1,106.07628676470588,170.5
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.057906150817871,24,55,373.06,108.36,16.43,1,104.77573529411765,170.546875
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.0492739677429199,24,55,373.06,108.36,16.43,1,106.42693011764706,170.5625
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.0646734237670898,24,55,373.06,108.36,16.43,1,108.75868061111112,170.183594
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.0557188987731933,24,55,373.06,108.36,16.43,1,106.9159008235294,170.367188
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.0599961280822753,24,55,373.06,108.36,16.43,1,97.51736111111111,170.753906
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.0575530529022216,24,55,373.06,108.36,16.43,1,105.02619488235294,170.480469
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.0556516647338867,24,55,373.06,108.36,16.43,1,107.47352427777777,170.519531
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.0540578365325927,24,55,373.06,108.36,16.43,1,97.98897058823529,170.320312
