nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.059610366821289,24,55,,,,,99.09136288888888,170.144531
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.0535292625427246,24,55,,,,,105.53450522222222,170.128906
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.0541305541992187,24,55,,,,,105.42233458823529,170.085938
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.0527586936950683,24,55,,,,,107.37999133333334,169.984375
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.0534205436706543,24,55,,,,,97.69531255555555,170.207031
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.0518414974212646,24,55,,,,,106.28699447058823,170.078125
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.0528907775878906,24,55,,,,,105.88172733333334,170.132812
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.0536344051361084,24,55,,,,,105.36397058823529,170.347656
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.0543699264526367,24,55,,,,,105.44738052941177,170.101562
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.0516433715820312,24,55,,,,,105.99869788888888,170.015625
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.0546269416809082,24,55,,,,,106.47677955555557,169.933594
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.0598082542419433,24,55,,,,,99.30859377777777,170.195312
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.0584566593170166,24,55,,,,,104.58823517647059,170.320312
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.0512547492980957,24,55,,,,,104.53515629411766,170.492188
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.0501692295074462,24,55,,,,,106.83224816666667,170.25
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.0510835647583007,24,55,,,,,107.66644972222221,170.207031
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.0560705661773681,24,55,,,,,104.92118570588235,170.105469
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.0533173084259033,24,55,,,,,105.54600688888887,169.925781
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.0557637214660644,24,55,,,,,104.56732552941176,170.40625
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.0540072917938232,24,55,,,,,106.93933829411765,170.0625
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.0516679286956787,24,55,,,,,102.28791358823528,170.234375
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.0641524791717529,24,55,,,,,104.74195770588234,170.125
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.066089391708374,24,55,,,,,108.16710083333334,170.117188
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.0565769672393798,24,55,,,,,104.96636294444446,170.386719
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.0562071800231933,24,55,,,,,104.61626835294116,170.347656
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.0621805191040039,24,55,,,,,107.20421016666667,169.996094
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.0568888187408447,24,55,,,,,104.56617647058823,170.238281
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.0545356273651123,24,55,,,,,104.11580894117648,170.136719
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.0525362491607666,24,55,,,,,106.00651033333332,170.195312
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.0552515983581543,24,55,,,,,104.4816175882353,170.34375
