nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.0446655750274658,12,13,,,,,103.60041364705882,169.671875
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.0476408004760742,12,13,,,,,105.81488722222221,169.242188
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.046175479888916,12,13,,,,,107.36006441176471,169.699219
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.0536577701568603,12,13,,,,,95.68012155555556,169.210938
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.0526502132415771,12,13,,,,,108.00597435294118,169.808594
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.0546445846557617,12,13,,,,,105.42003688235296,169.105469
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.0404894351959228,12,13,,,,,106.04756441176471,169.828125
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.0419564247131347,12,13,,,,,102.5310058125,169.195312
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.0525403022766113,12,13,,,,,107.55967900000002,169.359375
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.042414903640747,12,13,,,,,96.23230705882352,169.378906
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.0547928810119628,12,13,,,,,97.8099724117647,169.59375
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.049105167388916,12,13,,,,,103.21139717647058,169.605469
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.0472781658172607,12,13,,,,,106.48529417647057,169.523438
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.0443332195281982,12,13,,,,,103.6950683125,169.410156
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.0410237312316894,12,13,,,,,99.90556070588234,169.503906
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.0570840835571289,12,13,,,,,104.18115237500001,169.753906
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.0486261844635009,12,13,,,,,99.08398433333333,169.53125
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.0468127727508544,12,13,,,,,104.41567088235293,169.398438
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.0475757122039794,12,13,,,,,105.42991729411766,169.34375
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.0479075908660888,12,13,,,,,107.00086805555556,169.453125
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.0448999404907226,12,13,,,,,106.68956794117648,169.828125
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.0515577793121337,12,13,,,,,106.347886,169.648438
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.0373525619506835,12,13,,,,,104.54227964705882,169.523438
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.0395429134368896,12,13,,,,,106.28860294117646,169.429688
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.0491273403167724,12,13,,,,,106.1284465882353,169.164062
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.0460271835327148,12,13,,,,,103.02300350000002,169.59375
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.0466506481170654,12,13,,,,,102.7907715625,169.417969
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.0404670238494873,12,13,,,,,106.14751847058824,169.484375
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.0517804622650146,12,13,,,,,107.08938411764706,169.351562
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.0456116199493408,12,13,,,,,106.34099258823528,169.640625
