nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.0464148521423339,12,13,,,,,106.17486211764705,169.535156
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.0406813621520996,12,13,,,,,104.04882805555555,169.398438
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.0466575622558593,12,13,,,,,105.7286305882353,169.527344
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.0403304100036621,12,13,,,,,106.02045035294118,169.449219
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.0479850769042968,12,13,,,,,105.7079504117647,169.363281
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.0439412593841552,12,13,,,,,104.73598347058824,169.480469
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.0467474460601806,12,13,,,,,105.88563361111112,169.085938
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.0535681247711181,12,13,,,,,104.71668194117646,169.488281
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.0464003086090087,12,13,,,,,106.34329035294117,169.246094
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.0469095706939697,12,13,,,,,105.04342841176471,169.636719
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.0469996929168701,12,13,,,,,97.83295035294117,169.5
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.0566391944885253,12,13,,,,,107.20220594117647,169.496094
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.0469343662261962,12,13,,,,,97.60317105882352,169.429688
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.0454394817352294,12,13,,,,,97.683364,169.585938
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.0554456710815429,12,13,,,,,105.30698529411764,169.425781
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.0484774112701416,12,13,,,,,104.76263782352942,169.65625
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.0467317104339599,12,13,,,,,96.75942094117647,169.648438
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.0447089672088623,12,13,,,,,96.92209211111111,169.613281
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.0477912425994873,12,13,,,,,107.26447617647058,169.597656
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.0525054931640625,12,13,,,,,104.0627298235294,169.394531
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.0454261302947998,12,13,,,,,101.94577211764707,169.429688
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.0400121212005615,12,13,,,,,106.27182917647059,169.679688
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.0620970726013183,12,13,,,,,105.67463247058824,169.449219
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.044044017791748,12,13,,,,,96.5340072352941,169.601562
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.0439155101776123,12,13,,,,,107.37752747058823,169.46875
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.0427589416503906,12,13,,,,,99.38324655555556,169.320312
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.0412073135375976,12,13,,,,,105.44531247058822,169.519531
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.0458617210388183,12,13,,,,,105.77343752941177,169.367188
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.0454885959625244,12,13,,,,,103.23529417647057,169.519531
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.0419464111328125,12,13,,,,,105.26792282352942,169.546875
