nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.0492646694183349,10,10,,,,,136.11523422222223,170.035156
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.0417592525482177,10,10,,,,,135.51963672972974,170.597656
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.046722412109375,10,10,,,,,134.43077255555556,170.246094
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.0434396266937255,10,10,,,,,136.61979180555556,170.171875
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.0444324016571044,10,10,,,,,136.54003902777777,170.300781
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.0414958000183105,10,10,,,,,133.80023858333334,170.261719
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.0427281856536865,10,10,,,,,135.46799044444444,170.09375
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.0403916835784912,10,10,,,,,135.74464282857141,170.523438
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.0454449653625488,10,10,,,,,134.09863277777777,170.351562
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.0531985759735107,10,10,,,,,132.02625855555556,170.480469
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.0428292751312255,10,10,,,,,134.9884982222222,170.476562
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.0486519336700439,10,10,,,,,136.45985255555556,170.070312
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.0438792705535888,10,10,,,,,136.84406678378375,170.632812
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.0378398895263671,10,10,,,,,136.0036829142857,170.507812
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.0434451103210449,10,10,,,,,131.1025391111111,170.503906
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.0410449504852294,10,10,,,,,136.73480922222222,170.308594
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.0484044551849365,10,10,,,,,136.38102694285715,170.339844
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.0445899963378906,10,10,,,,,136.35647348571428,170.402344
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.0372974872589111,10,10,,,,,135.9652778611111,170.199219
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.0415780544281005,10,10,,,,,136.49956608333332,170.238281
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.0479276180267334,10,10,,,,,135.91216514285713,169.910156
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.0402746200561523,10,10,,,,,133.65158425,170.089844
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.0431737899780273,10,10,,,,,136.20095475,170.238281
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.0364565849304199,10,10,,,,,140.19280145238093,170.179688
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.0432746410369873,10,10,,,,,134.65193242105263,170.542969
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.0519392490386962,10,10,,,,,134.38999172972973,170.347656
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.0423738956451416,10,10,,,,,130.56342536842106,170.496094
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.0540540218353271,10,10,,,,,135.58223692105264,170.644531
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.0423758029937744,10,10,,,,,134.12369788888887,170.339844
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.0465211868286132,10,10,,,,,133.6539274054054,170.226562
